fips,county_population_16gr,2004-2020_dem_wins,name,State,Votes,Abbreviation,state_population,elec_vote_proportion
1001,43953,0,Autauga County,alabama,9,AL,4888949,0.080912482
1003,172297,0,Baldwin County,alabama,9,AL,4888949,0.317179214
1005,20636,1,Barbour County,alabama,9,AL,4888949,0.037988533
1007,18492,0,Bibb County,alabama,9,AL,4888949,0.034041672
1009,45907,0,Blount County,alabama,9,AL,4888949,0.084509575
1011,8375,4,Bullock County,alabama,9,AL,4888949,0.015417424
1013,15853,0,Butler County,alabama,9,AL,4888949,0.029183573
1015,92886,0,Calhoun County,alabama,9,AL,4888949,0.170992579
1017,27403,0,Chambers County,alabama,9,AL,4888949,0.050445812
1019,21390,0,Cherokee County,alabama,9,AL,4888949,0.039376561
1021,34827,0,Chilton County,alabama,9,AL,4888949,0.064112553
1023,10685,0,Choctaw County,alabama,9,AL,4888949,0.019669872
1025,19548,0,Clarke County,alabama,9,AL,4888949,0.035985648
1027,10841,0,Clay County,alabama,9,AL,4888949,0.01995705
1029,11942,0,Cleburne County,alabama,9,AL,4888949,0.021983866
1031,40755,0,Coffee County,alabama,9,AL,4888949,0.075025328
1033,44515,0,Colbert County,alabama,9,AL,4888949,0.081947061
1035,10094,1,Conecuh County,alabama,9,AL,4888949,0.018581908
1037,9140,0,Coosa County,alabama,9,AL,4888949,0.016825702
1039,29973,0,Covington County,alabama,9,AL,4888949,0.05517689
1041,11114,0,Crenshaw County,alabama,9,AL,4888949,0.020459612
1043,66350,0,Cullman County,alabama,9,AL,4888949,0.122142816
1045,39177,0,Dale County,alabama,9,AL,4888949,0.072120409
1047,30693,4,Dallas County,alabama,9,AL,4888949,0.056502328
1049,56091,0,DeKalb County,alabama,9,AL,4888949,0.103257162
1051,65170,0,Elmore County,alabama,9,AL,4888949,0.11997057
1053,29780,0,Escambia County,alabama,9,AL,4888949,0.054821599
1055,83242,0,Etowah County,alabama,9,AL,4888949,0.15323907
1057,13428,0,Fayette County,alabama,9,AL,4888949,0.024719423
1059,24340,0,Franklin County,alabama,9,AL,4888949,0.044807176
1061,21355,0,Geneva County,alabama,9,AL,4888949,0.03931213
1063,6544,4,Greene County,alabama,9,AL,4888949,0.012046761
1065,11792,4,Hale County,alabama,9,AL,4888949,0.021707733
1067,14042,0,Henry County,alabama,9,AL,4888949,0.025849728
1069,83196,0,Houston County,alabama,9,AL,4888949,0.15315439
1071,42222,0,Jackson County,alabama,9,AL,4888949,0.077725908
1073,525234,3,Jefferson County,alabama,9,AL,4888949,0.966896157
1075,11104,0,Lamar County,alabama,9,AL,4888949,0.020441203
1077,76212,0,Lauderdale County,alabama,9,AL,4888949,0.140297639
1079,26684,0,Lawrence County,alabama,9,AL,4888949,0.049122214
1081,130253,0,Lee County,alabama,9,AL,4888949,0.239780984
1083,75899,0,Limestone County,alabama,9,AL,4888949,0.139721441
1085,8043,4,Lowndes County,alabama,9,AL,4888949,0.01480625
1087,15831,4,Macon County,alabama,9,AL,4888949,0.029143073
1089,292072,0,Madison County,alabama,9,AL,4888949,0.537671389
1091,15514,3,Marengo County,alabama,9,AL,4888949,0.028559512
1093,24260,0,Marion County,alabama,9,AL,4888949,0.044659905
1095,74429,0,Marshall County,alabama,9,AL,4888949,0.137015338
1097,327383,0,Mobile County,alabama,9,AL,4888949,0.602674931
1099,17101,0,Monroe County,alabama,9,AL,4888949,0.031480999
1101,179440,4,Montgomery County,alabama,9,AL,4888949,0.330328666
1103,95022,0,Morgan County,alabama,9,AL,4888949,0.174924713
1105,7569,4,Perry County,alabama,9,AL,4888949,0.01393367
1107,16747,0,Pickens County,alabama,9,AL,4888949,0.030829325
1109,27622,0,Pike County,alabama,9,AL,4888949,0.050848966
1111,18293,0,Randolph County,alabama,9,AL,4888949,0.033675336
1113,45533,4,Russell County,alabama,9,AL,4888949,0.083821083
1115,70160,0,St. Clair County,alabama,9,AL,4888949,0.129156594
1117,168899,0,Shelby County,alabama,9,AL,4888949,0.310923882
1119,10570,4,Sumter County,alabama,9,AL,4888949,0.01945817
1121,65202,0,Talladega County,alabama,9,AL,4888949,0.120029479
1123,33041,0,Tallapoosa County,alabama,9,AL,4888949,0.060824729
1125,168197,0,Tuscaloosa County,alabama,9,AL,4888949,0.309631579
1127,51506,0,Walker County,alabama,9,AL,4888949,0.094816698
1129,13300,0,Washington County,alabama,9,AL,4888949,0.02448379
1131,8487,4,Wilcox County,alabama,9,AL,4888949,0.015623603
1133,19489,0,Winston County,alabama,9,AL,4888949,0.035877036
4001,54229,4,Apache County,arizona,11,AZ,7123898,0.083734916
4003,101327,0,Cochise County,arizona,11,AZ,7123898,0.156458866
4005,115514,4,Coconino County,arizona,11,AZ,7123898,0.178364991
4007,43850,0,Gila County,arizona,11,AZ,7123898,0.067708718
4009,28895,0,Graham County,arizona,11,AZ,7123898,0.044616725
4011,7196,0,Greenlee County,arizona,11,AZ,7123898,0.011111333
4012,17815,0,La Paz County,arizona,11,AZ,7123898,0.027508114
4013,3402498,0,Maricopa County,arizona,11,AZ,7123898,5.253791955
4015,175830,0,Mohave County,arizona,11,AZ,7123898,0.271498834
4017,82886,0,Navajo County,arizona,11,AZ,7123898,0.127984146
4019,834998,4,Pima County,arizona,11,AZ,7123898,1.289319134
4021,343846,0,Pinal County,arizona,11,AZ,7123898,0.530932082
4023,35419,4,Santa Cruz County,arizona,11,AZ,7123898,0.054690424
4025,194627,0,Yavapai County,arizona,11,AZ,7123898,0.300523253
4027,161991,0,Yuma County,arizona,11,AZ,7123898,0.250130055
5001,14285,0,Arkansas County,arkansas,6,AR,3020327,0.028377722
5003,16004,0,Ashley County,arkansas,6,AR,3020327,0.031792584
5005,35079,0,Baxter County,arkansas,6,AR,3020327,0.069685832
5007,203159,0,Benton County,arkansas,6,AR,3020327,0.403583453
5009,29544,0,Boone County,arkansas,6,AR,3020327,0.058690334
5011,8551,1,Bradley County,arkansas,6,AR,3020327,0.016986902
5013,4350,0,Calhoun County,arkansas,6,AR,3020327,0.008641448
5015,22563,0,Carroll County,arkansas,6,AR,3020327,0.044822299
5017,8541,4,Chicot County,arkansas,6,AR,3020327,0.016967037
5019,18643,1,Clark County,arkansas,6,AR,3020327,0.037035063
5021,12016,1,Clay County,arkansas,6,AR,3020327,0.023870263
5023,20944,0,Cleburne County,arkansas,6,AR,3020327,0.041606091
5025,6487,0,Cleveland County,arkansas,6,AR,3020327,0.012886684
5027,19430,0,Columbia County,arkansas,6,AR,3020327,0.03859847
5029,16421,0,Conway County,arkansas,6,AR,3020327,0.032620971
5031,83529,0,Craighead County,arkansas,6,AR,3020327,0.165933689
5033,49100,0,Crawford County,arkansas,6,AR,3020327,0.097539108
5035,36753,4,Crittenden County,arkansas,6,AR,3020327,0.0730113
5037,13365,0,Cross County,arkansas,6,AR,3020327,0.026550105
5039,5986,0,Dallas County,arkansas,6,AR,3020327,0.011891428
5041,9054,4,Desha County,arkansas,6,AR,3020327,0.017986132
5043,14825,0,Drew County,arkansas,6,AR,3020327,0.029450454
5045,98015,0,Faulkner County,arkansas,6,AR,3020327,0.194710705
5047,14060,0,Franklin County,arkansas,6,AR,3020327,0.027930751
5049,10072,0,Fulton County,arkansas,6,AR,3020327,0.02000843
5051,81156,0,Garland County,arkansas,6,AR,3020327,0.16121963
5053,14499,0,Grant County,arkansas,6,AR,3020327,0.028802842
5055,35266,0,Greene County,arkansas,6,AR,3020327,0.070057315
5057,16840,1,Hempstead County,arkansas,6,AR,3020327,0.033453331
5059,27540,0,Hot Spring County,arkansas,6,AR,3020327,0.054709308
5061,10253,0,Howard County,arkansas,6,AR,3020327,0.020367993
5063,29431,0,Independence County,arkansas,6,AR,3020327,0.058465855
5065,11394,0,Izard County,arkansas,6,AR,3020327,0.022634635
5067,13969,1,Jackson County,arkansas,6,AR,3020327,0.027749975
5069,55752,4,Jefferson County,arkansas,6,AR,3020327,0.110753571
5071,20675,0,Johnson County,arkansas,6,AR,3020327,0.041071712
5073,5638,0,Lafayette County,arkansas,6,AR,3020327,0.011200112
5075,13233,1,Lawrence County,arkansas,6,AR,3020327,0.026287882
5077,7766,4,Lee County,arkansas,6,AR,3020327,0.015427469
5079,11627,1,Lincoln County,arkansas,6,AR,3020327,0.023097499
5081,9941,1,Little River County,arkansas,6,AR,3020327,0.019748193
5083,17492,0,Logan County,arkansas,6,AR,3020327,0.034748555
5085,56011,0,Lonoke County,arkansas,6,AR,3020327,0.111268085
5087,12968,0,Madison County,arkansas,6,AR,3020327,0.025761449
5089,13812,0,Marion County,arkansas,6,AR,3020327,0.027438089
5091,34690,0,Miller County,arkansas,6,AR,3020327,0.068913068
5093,32523,1,Mississippi County,arkansas,6,AR,3020327,0.064608236
5095,5730,1,Monroe County,arkansas,6,AR,3020327,0.011382873
5097,7507,0,Montgomery County,arkansas,6,AR,3020327,0.014912955
